date,advancing_stocks,declining_stocks,total_stocks,URSI
2017-01-04,58,50,141,53.70370370370371
2017-01-05,63,59,141,51.63934426229508
2017-01-06,47,72,142,39.49579831932773
2017-01-09,61,52,142,53.98230088495575
2017-01-10,52,67,143,43.69747899159664
2017-01-11,73,48,143,60.33057851239669
2017-01-12,60,49,143,55.04587155963303
2017-01-13,44,64,144,40.74074074074074
2017-01-16,29,91,146,24.166666666666668
2017-01-17,55,59,146,48.24561403508772
2017-01-18,37,80,146,31.62393162393162
2017-01-19,40,75,146,34.78260869565217
2017-01-20,79,38,146,67.52136752136752
2017-01-23,47,61,146,43.51851851851852
2017-01-24,84,36,146,70.0
2017-01-25,108,22,146,83.07692307692308
2017-02-02,80,42,146,65.57377049180327
2017-02-03,47,75,146,38.52459016393443
2017-02-06,63,62,146,50.4
2017-02-07,65,57,146,53.278688524590166
2017-02-08,70,48,146,59.32203389830508
2017-02-09,67,55,146,54.91803278688525
2017-02-10,68,55,146,55.28455284552846
2017-02-13,88,38,146,69.84126984126983
2017-02-14,51,65,146,43.96551724137931
2017-02-15,80,41,146,66.11570247933885
2017-02-16,50,74,146,40.32258064516129
2017-02-17,75,46,146,61.98347107438017
2017-02-20,85,37,146,69.67213114754098
2017-02-21,79,42,146,65.28925619834712
2017-02-22,47,76,146,38.21138211382114
2017-02-23,43,79,146,35.24590163934426
2017-02-24,37,90,146,29.133858267716533
2017-02-27,67,59,146,53.17460317460318
2017-02-28,36,84,146,30.0
2017-03-01,50,68,147,42.3728813559322
2017-03-02,57,62,147,47.89915966386555
2017-03-03,66,61,147,51.96850393700787
2017-03-06,69,58,147,54.330708661417326
2017-03-07,71,43,147,62.28070175438597
2017-03-08,69,53,147,56.557377049180324
2017-03-09,51,67,147,43.22033898305085
2017-03-10,55,61,147,47.41379310344828
2017-03-13,41,84,147,32.800000000000004
2017-03-14,63,58,147,52.066115702479344
2017-03-15,49,68,147,41.88034188034188
2017-03-16,89,37,147,70.63492063492063
2017-03-17,66,51,147,56.41025641025641
2017-03-20,81,38,147,68.0672268907563
2017-03-21,55,65,147,45.83333333333333
2017-03-22,28,96,148,22.58064516129032
2017-03-23,74,51,148,59.199999999999996
2017-03-24,67,50,148,57.26495726495726
2017-03-27,54,63,148,46.15384615384615
2017-03-28,47,74,148,38.84297520661157
2017-03-29,55,59,148,48.24561403508772
2017-03-30,82,49,148,62.59541984732825
2017-03-31,54,72,148,42.857142857142854
2017-04-03,64,68,148,48.484848484848484
2017-04-04,61,65,148,48.41269841269841
2017-04-05,56,73,148,43.41085271317829
2017-04-07,55,63,148,46.61016949152542
2017-04-10,66,63,148,51.162790697674424
2017-04-11,68,61,148,52.71317829457365
2017-04-12,43,80,148,34.959349593495936
2017-04-13,55,68,148,44.71544715447154
2017-04-14,29,97,148,23.015873015873016
2017-04-17,24,101,148,19.2
2017-04-18,79,39,148,66.94915254237289
2017-04-19,76,50,148,60.317460317460316
2017-04-20,37,79,148,31.896551724137932
2017-04-21,46,70,148,39.6551724137931
